user_id,job_id,rating,comment,timestamp
user_7,job_72,4.60330731689381,Very satisfied with the quality of work.,2025-05-01 05:21:32.018075
user_1,job_16,1.5457528672267709,Work was below expectations.,2025-05-03 05:21:32.018075
user_30,job_65,4.73338952959047,"Highly recommended, will hire again.",2025-04-28 05:21:32.018075
user_14,job_98,4.238497788753727,Very skilled and knowledgeable.,2025-04-29 05:21:32.018075
user_32,job_25,2.8573635151138275,The job was done as requested.,2025-05-15 05:21:32.018075
user_11,job_24,4.300914609933375,Very satisfied with the quality of work.,2025-04-29 05:21:32.028423
user_19,job_84,2.0564544331642014,"Acceptable service, but could be better.",2025-05-17 05:21:32.031340
user_36,job_9,2.828922567596651,The work was satisfactory.,2025-04-27 05:21:32.033128
user_40,job_56,4.458329359235834,Excellent communication and service.,2025-05-02 05:21:32.034341
user_9,job_14,4.707627616097029,Excellent communication and service.,2025-05-08 05:21:32.035345
user_32,job_26,2.4089021012181178,Reasonable quality for the price.,2025-05-09 05:21:32.036340
user_31,job_96,2.648675286485587,Reasonable quality for the price.,2025-05-16 05:21:32.037339
user_44,job_88,4.281315051586267,Excellent communication and service.,2025-05-03 05:21:32.039340
user_27,job_27,4.790978229149872,"Excellent work, completed on time.",2025-04-21 05:21:32.040339
user_9,job_29,4.958533163906826,Very skilled and knowledgeable.,2025-04-20 05:21:32.041340
user_9,job_22,4.9571223830507885,"Excellent work, completed on time.",2025-05-03 05:21:32.042339
user_27,job_50,4.35387479157411,"Highly recommended, will hire again.",2025-05-03 05:21:32.043341
user_16,job_65,4.326777238086311,Excellent communication and service.,2025-04-23 05:21:32.044340
user_44,job_72,4.732804784661611,"Perfect job, exceeded expectations.",2025-05-12 05:21:32.045339
user_48,job_1,4.6595731087041035,The worker was punctual and efficient.,2025-05-05 05:21:32.047403
user_37,job_37,4.60573327228244,"Perfect job, exceeded expectations.",2025-05-16 05:21:32.049026
user_5,job_65,4.103330606613772,"Excellent work, completed on time.",2025-04-27 05:21:32.051093
user_6,job_45,1.400167963828054,Work was below expectations.,2025-05-15 05:21:32.052990
user_48,job_6,4.950102093252134,"Perfect job, exceeded expectations.",2025-05-07 05:21:32.053987
user_5,job_5,4.793712604416623,"Highly recommended, will hire again.",2025-05-05 05:21:32.055362
user_36,job_87,4.518248096210357,Very satisfied with the quality of work.,2025-04-28 05:21:32.056369
user_23,job_37,4.270291414508029,Very skilled and knowledgeable.,2025-05-12 05:21:32.056369
user_34,job_48,4.593325385400958,"Highly recommended, will hire again.",2025-05-13 05:21:32.056369
user_1,job_95,4.212664896534142,"Great service, very professional!",2025-05-12 05:21:32.056369
user_49,job_2,4.270614260228479,Very skilled and knowledgeable.,2025-04-28 05:21:32.061488
user_40,job_92,4.428460018444371,"Great service, very professional!",2025-05-02 05:21:32.062704
user_8,job_24,4.164748783363606,"Excellent work, completed on time.",2025-05-15 05:21:32.063709
user_20,job_44,1.721088138421506,"Poor service, not recommended.",2025-05-05 05:21:32.064527
user_12,job_62,4.521375314555249,"Perfect job, exceeded expectations.",2025-05-12 05:21:32.065533
user_27,job_37,4.295531331638593,The worker was punctual and efficient.,2025-05-15 05:21:32.065533
